YEAR_BUILT,ASSESSCLAS,BLDG_DESC,BLDG_FEET,GARAGE,FIREPLACE,BASEMENT,BSMTDEVL,ASSESSMENT,LATITUDE,LONGITUDE,age
2004.0,Residential,2 Storey & Basement,1975,Y,Y,Y,N,467000,53.5534742313,-113.2563505818,14.0
2002.0,Residential,Split Entry & Bonus Upper,1591,Y,Y,Y,Y,451000,53.5547096031,-113.25383297379999,16.0
1955.0,Residential,1 Storey Basementless,1030,N,N,N,N,174000,53.463185893900004,-112.9499918974,63.0
2003.0,Residential,1 Storey & Basement,1179,Y,Y,Y,Y,418000,53.5230016821,-113.2573796743,15.0
2003.0,Residential,1 Storey & Basement,2313,Y,Y,Y,Y,1321000,53.4877514356,-113.2726973836,15.0
1976.0,Residential,2 Storey & Basement,3465,Y,Y,Y,N,1107000,53.4902545272,-113.3189760709,42.0
2003.0,Residential,Split Entry,1325,Y,Y,Y,Y,449000,53.514298791499996,-113.2516872872,15.0
2003.0,Residential,Split Entry & Bonus Upper,1196,Y,Y,Y,N,380000,53.5543152051,-113.2571346535,15.0
2004.0,Residential,2 Storey & Basement,2010,Y,Y,Y,Y,505000,53.54552740020001,-113.27073404129999,14.0
2004.0,Residential,Split Entry & Bonus Upper,1663,Y,Y,Y,Y,521000,53.5191567392,-113.26972976620002,14.0
2002.0,Residential,1 Storey & Basement,1390,Y,Y,Y,Y,529000,53.5143039616,-113.2808320384,16.0
2003.0,Residential,1 Storey & Basement,1238,Y,Y,Y,Y,473000,53.553809334499995,-113.2550589238,15.0
2008.0,Residential,1 Storey Basementless,1800,Y,N,N,N,390000,53.3896966353,-112.9050870436,10.0
2003.0,Residential,2 Storey & Basement,2245,Y,Y,Y,Y,546000,53.515408923900004,-113.2820758701,15.0
2002.0,Residential,Split Entry & Bonus Upper,1367,Y,Y,Y,Y,448000,53.5353755387,-113.2614759449,16.0
1983.0,Residential,1 Storey & Basement,1175,Y,Y,Y,N,405000,53.4758440309,-112.9469686715,35.0
2004.0,Residential,1 Storey & Basement,1412,Y,Y,Y,Y,503000,53.51293416,-113.24943377870001,14.0
2002.0,Residential,2 Storey & Basement,2151,Y,Y,Y,Y,542000,53.5236233389,-113.2635172214,16.0
2003.0,Residential,Split Entry & Bonus Upper,1411,Y,Y,Y,Y,451000,53.520126460600004,-113.2639659541,15.0
2004.0,Residential,2 Storey & Basement,2191,Y,Y,Y,Y,591000,53.5280028288,-113.25380746799999,14.0
2002.0,Residential,2 Storey & Basement,1462,Y,Y,Y,Y,416000,53.5542308745,-113.25388719819999,16.0
2004.0,Residential,1 Storey & Basement,1392,Y,Y,Y,Y,500000,53.5141532229,-113.25088078690001,14.0
2002.0,Residential,2 Storey & Basement,1592,Y,Y,Y,Y,421000,53.5127298484,-113.28097200549999,16.0
2005.0,Residential,1 Storey & Basement,2024,Y,Y,Y,Y,555000,53.3797098579,-112.8650208955,13.0
2004.0,Residential,2 Storey & Basement,1352,Y,N,Y,N,332000,53.549926926400005,-113.2737308822,14.0
2002.0,Residential,2 Storey & Basement,1756,Y,Y,Y,N,401000,53.5528638016,-113.248757704,16.0
2003.0,Residential,2 Storey & Basement,2080,Y,Y,Y,Y,508000,53.5131962209,-113.2808300226,15.0
1992.0,Residential,1 Storey & Bonus Upper,2971,Y,Y,Y,Y,979000,53.4669486247,-112.92046759879999,26.0
2003.0,Residential,2 Storey & Basement,1880,Y,Y,Y,N,580000,53.5485154796,-113.0193239174,15.0
2002.0,Residential,2 Storey & Basement,2068,Y,Y,Y,Y,494000,53.550285164499996,-113.2715348159,16.0
2003.0,Residential,Split Entry & Bonus Upper,1311,Y,Y,Y,N,408000,53.5214543972,-113.25683777340001,15.0
2004.0,Residential,2 Storey & Basement,1658,Y,Y,Y,Y,437000,53.5496466866,-113.2729096224,14.0
1980.0,Residential,Split Level,1747,Y,Y,Y,N,439000,53.3759854128,-112.910440492,38.0
2003.0,Residential,2 Storey & Basement,1470,Y,Y,Y,N,344000,53.5502219592,-113.2737299741,15.0
2004.0,Residential,2 Storey & Basement,1342,Y,N,Y,N,331000,53.5497008423,-113.27437267879999,14.0
2014.0,Residential,2 Storey & Basement,4231,Y,N,Y,Y,1316000,53.4535644463,-113.09859063559999,4.0
2005.0,Residential,1 Storey & Basement,1858,Y,Y,Y,Y,612000,53.379706644799995,-112.8610177897,13.0
2004.0,Residential,Split Entry & Bonus Upper,1199,Y,Y,Y,N,382000,53.5218475442,-113.2568375681,14.0
2004.0,Residential,2 Storey & Basement,4353,Y,Y,Y,Y,1043000,53.497194280100004,-113.3314504935,14.0
1998.0,Residential,2 Storey Basementless,1676,Y,Y,N,N,371000,53.404796018199995,-112.92210793950001,20.0
2003.0,Residential,Split Entry,1325,Y,Y,Y,Y,432000,53.513287885299995,-113.24903847190001,15.0
2002.0,Residential,1 Storey & Basement,1128,Y,Y,Y,N,371000,53.553279316899996,-113.24895240229999,16.0
2002.0,Residential,2 Storey & Basement,4131,Y,Y,Y,Y,1442000,53.4860613399,-113.2811256775,16.0
2001.0,Residential,1 Storey & Basement,1122,Y,Y,Y,Y,438000,53.3764240292,-112.8650136567,17.0
2004.0,Residential,1 Storey & Basement,1403,Y,Y,Y,Y,555000,53.5151360937,-113.25120361209999,14.0
2003.0,Residential,2 Storey & Basement,1877,Y,Y,Y,Y,541000,53.534393871300004,-113.2584816577,15.0
2004.0,Residential,2 Storey & Basement,1981,Y,Y,Y,N,478000,53.5130932525,-113.2829601805,14.0
2004.0,Residential,1 Storey & Basement,1899,Y,Y,Y,Y,563000,53.546078969499995,-113.2692594308,14.0
2002.0,Residential,2 Storey & Basement,1211,Y,N,Y,Y,345000,53.5548321212,-113.2551096386,16.0
2003.0,Residential,Split Entry & Bonus Upper,1451,Y,Y,Y,Y,453000,53.5435687195,-113.2685319065,15.0
2006.0,Residential,1 Storey & Basement,2102,Y,Y,Y,Y,1097000,53.484712316199996,-113.280494805,12.0
2004.0,Residential,1 Storey & Basement,1745,Y,Y,Y,Y,934000,53.5195851555,-113.2706188261,14.0
2003.0,Residential,2 Storey & Basement,1876,Y,Y,Y,N,454000,53.5133165025,-113.27949084790001,15.0
2003.0,Residential,2 Storey & Basement,1622,Y,Y,Y,Y,448000,53.550235816400004,-113.2729077672,15.0
2003.0,Residential,Split Entry & Bonus Upper,1407,Y,Y,Y,Y,434000,53.522810948,-113.2576511269,15.0
2004.0,Residential,Split Entry & Bonus Upper,1483,Y,Y,Y,Y,481000,53.51490202390001,-113.2519096076,14.0
2006.0,Residential,2 Storey & Basement,2792,Y,Y,Y,N,833000,53.4962421929,-113.3314162392,12.0
1995.0,Residential,2 Storey & Basement,2167,Y,Y,Y,N,485000,53.404187448,-112.922788482,23.0
2003.0,Residential,Split Entry & Bonus Upper,1083,Y,N,Y,Y,384000,53.523509303199994,-113.25737939129999,15.0
2004.0,Residential,2 Storey & Basement,1339,Y,N,Y,N,333000,53.549927591899994,-113.2743720003,14.0
1993.0,Residential,Split Entry,1106,Y,N,Y,Y,378000,53.377788451899995,-112.8593873017,25.0
2003.0,Residential,2 Storey & Basement,2154,Y,Y,Y,Y,540000,53.5345937072,-113.2602947645,15.0
2004.0,Residential,1 Storey & Basement,1390,Y,Y,Y,Y,534000,53.5345937072,-113.2602947645,14.0
2009.0,Residential,1 Storey & Bonus Upper,3274,Y,Y,Y,Y,1274000,53.4957982563,-113.3305652071,9.0
2008.0,Residential,1 Storey Slab on Grade,1362,Y,Y,N,N,401000,53.4100071098,-112.893013129,10.0
2004.0,Residential,2 Storey & Basement,2147,Y,Y,Y,Y,613000,53.515716964,-113.2511101112,14.0
2003.0,Residential,Split Entry & Bonus Upper,1723,Y,Y,Y,Y,774000,53.574047505,-113.1655992002,15.0
2003.0,Residential,2 Storey & Basement,1403,Y,Y,Y,N,388000,53.554309058,-113.25583716879999,15.0
2003.0,Residential,2 Storey & Basement,1867,Y,Y,Y,Y,456000,53.5545965301,-113.255837017,15.0
2002.0,Residential,2 Storey & Basement,2142,Y,Y,Y,Y,481000,53.519667496000004,-113.2622724523,16.0
1979.0,Residential,1 Storey & Basement,954,N,N,Y,Y,283000,53.4627755209,-112.9501436078,39.0
2003.0,Residential,Split Entry & Bonus Upper,1686,Y,Y,Y,Y,531000,53.514302253000004,-113.2813692327,15.0
2005.0,Residential,1 Storey & Basement,1387,Y,Y,Y,Y,500000,53.5141955659,-113.2496534771,13.0
2005.0,Residential,2 Storey & Basement,1915,Y,Y,Y,Y,514000,53.512736404099996,-113.28204219790001,13.0
2003.0,Residential,1 Storey & Basement,2644,Y,Y,Y,Y,1156000,53.494540681000004,-113.3323814435,15.0
2003.0,Residential,1 Storey & Basement,1593,Y,Y,Y,Y,637000,53.5277842629,-113.2520710163,15.0
2003.0,Residential,2 Storey & Basement,2682,Y,Y,Y,N,617000,53.5527401438,-113.2537948276,15.0
2003.0,Residential,Split Entry & Bonus Upper,1743,Y,Y,Y,N,492000,53.513985267200006,-113.2819082474,15.0
2004.0,Residential,2 Storey & Basement,1999,Y,Y,Y,Y,526000,53.5529913766,-113.257773489,14.0
1978.0,Residential,1 1/2 Storey & Basement,2013,N,N,Y,Y,493000,53.3725337997,-112.8891338473,40.0
2003.0,Residential,2 Storey & Basement,1912,Y,Y,Y,N,443000,53.52085792020001,-113.2568381068,15.0
2012.0,Residential,1 Storey & Basement,3125,Y,Y,Y,Y,1318000,53.495440393100004,-113.2678624798,6.0
2002.0,Residential,2 Storey & Basement,1893,Y,Y,Y,N,439000,53.5543088366,-113.2549319371,16.0
2003.0,Residential,2 Storey & Basement,2181,Y,Y,Y,Y,487000,53.554330548,-113.2584321376,15.0
2002.0,Residential,Split Entry & Bonus Upper,1318,Y,Y,Y,Y,429000,53.519641238,-113.2643252125,16.0
2003.0,Residential,Split Entry & Bonus Upper,1562,Y,Y,Y,Y,515000,53.526957989399996,-113.2535674429,15.0
2004.0,Residential,2 Storey & Basement,1636,Y,Y,Y,Y,457000,53.5237155149,-113.2670740438,14.0
2004.0,Residential,Split Entry & Bonus Upper,1501,Y,Y,Y,Y,442000,53.5451269902,-113.2707354941,14.0
2001.0,Residential,2 Storey & Basement,1582,Y,N,Y,Y,401000,53.52051647060001,-113.2644571509,17.0
2002.0,Residential,2 Storey & Basement,1811,Y,Y,Y,Y,447000,53.5249236679,-113.25683166469999,16.0
2003.0,Residential,Split Entry & Bonus Upper,1469,Y,Y,Y,Y,470000,53.536353652299994,-113.2609507543,15.0
2004.0,Residential,Split Entry,1145,Y,Y,Y,Y,424000,53.5129079504,-113.2501932701,14.0
1979.0,Residential,1 1/2 Storey Basementless,1380,Y,Y,N,N,318000,53.4092662102,-112.9135862405,39.0
2002.0,Residential,Split Entry & Bonus Upper,1232,Y,Y,Y,Y,412000,53.519956717700005,-113.2626245858,16.0
1976.0,Residential,Split Level,1157,Y,Y,Y,N,408000,53.474712395699996,-112.9488690156,42.0
2006.0,Residential,2 Storey & Basement,1969,Y,Y,Y,N,461000,53.5273172891,-113.25133939870001,12.0
2004.0,Residential,1 Storey & Basement,1343,Y,Y,Y,Y,482000,53.5133785152,-113.25038612739999,14.0
1976.0,Residential,Split Level & Crawl Space,1574,Y,Y,Y,N,523000,53.3742750396,-112.9389289569,42.0
2003.0,Residential,2 Storey & Basement,3546,Y,Y,Y,Y,1007000,53.495672345600006,-113.3249613782,15.0
2005.0,Residential,2 Storey & Basement,1400,Y,Y,Y,N,388000,53.5489598216,-113.27466676819999,13.0
1989.0,Residential,2 Storey & Basement,1698,Y,Y,Y,Y,581000,53.4096735234,-112.8896444306,29.0
2005.0,Residential,Split Entry & Bonus Upper,1443,Y,N,Y,Y,435000,53.549843066499996,-113.2729090552,13.0
2002.0,Residential,1 Storey & Basement,1408,Y,Y,Y,N,333000,53.5231801688,-113.2648004266,16.0
2001.0,Residential,2 Storey & Basement,2797,Y,Y,Y,N,765000,53.4970010302,-113.3259914646,17.0
2003.0,Residential,2 Storey & Basement,1704,Y,Y,Y,Y,433000,53.5223031513,-113.25819415219999,15.0
2003.0,Residential,2 Storey & Basement,2204,Y,Y,Y,Y,584000,53.5486357217,-113.27162637069999,15.0
2003.0,Residential,Split Entry,1711,Y,Y,Y,Y,486000,53.376641799,-112.86193281930001,15.0
1977.0,Residential,1 1/2 Storey & Basement,2315,Y,Y,Y,N,675000,53.37250268060001,-112.86804771780001,41.0
2000.0,Residential,1 Storey Basementless,1120,Y,Y,N,N,327000,53.4093573434,-112.8913754364,18.0
2003.0,Residential,1 Storey & Basement,1087,Y,Y,Y,N,381000,53.554906779,-113.25843186190001,15.0
1984.0,Residential,1 Storey Basementless,192,N,N,N,N,126000,53.3688361349,-112.8625175955,34.0
2004.0,Residential,2 Storey & Basement,1695,Y,Y,Y,N,417000,53.5489590125,-113.2738673224,14.0
2003.0,Residential,2 Storey & Basement,2298,Y,Y,Y,Y,513000,53.5495479019,-113.2723593104,15.0
1965.0,Residential,1 Storey Basementless,624,N,Y,N,N,164000,53.404813597600004,-112.92095842260001,53.0
2003.0,Residential,2 Storey & Basement,1636,Y,Y,Y,Y,444000,53.5244590806,-113.2622695519,15.0
2003.0,Residential,2 Storey & Basement,1876,Y,Y,Y,Y,490000,53.5357252171,-113.25849170049999,15.0
2003.0,Residential,1 Storey & Basement,1562,Y,Y,Y,N,503000,53.5139533014,-113.2798771291,15.0
2003.0,Residential,1 Storey & Basement,1054,Y,Y,Y,N,381000,53.554658501700004,-113.2576474433,15.0
2006.0,Residential,2 Storey & Basement,9463,Y,Y,Y,Y,2434000,53.49547917859999,-113.33241444149999,12.0
2003.0,Residential,2 Storey & Basement,1980,Y,Y,Y,N,485000,53.5137911725,-113.2829660166,15.0
1953.0,Residential,1 Storey & Basement,1185,N,N,Y,Y,360000,53.4034249446,-112.88963916959999,65.0
2003.0,Residential,Split Entry & Bonus Upper,1448,Y,Y,Y,Y,454000,53.5272028485,-113.25322302030001,15.0
1998.0,Residential,1 Storey & Basement,1845,Y,Y,Y,N,653000,53.378964634300004,-112.9076937063,20.0
2003.0,Residential,2 Storey & Basement,1534,Y,Y,Y,N,394000,53.5244096744,-113.2607226508,15.0
2004.0,Residential,1 Storey & Basement,2444,Y,Y,Y,Y,1031000,53.4974766033,-113.32598722280001,14.0
2003.0,Residential,2 Storey & Basement,2241,Y,Y,Y,Y,525000,53.5265878054,-113.2516888224,15.0
2007.0,Residential,1 Storey & Basement,1586,Y,Y,Y,Y,466000,53.46289436,-112.94741139940001,11.0
2003.0,Residential,Split Entry & Bonus Upper,1534,Y,Y,Y,Y,476000,53.545352047600005,-113.26936480469999,15.0
2013.0,Residential,2 Storey & Basement,6481,Y,Y,Y,N,1719000,53.4871942091,-113.27658208950001,5.0
2003.0,Residential,2 Storey & Basement,2202,Y,Y,Y,Y,509000,53.5350793872,-113.2612200932,15.0
1993.0,Residential,1 Storey Basementless,1578,Y,Y,N,N,373000,53.374767194300006,-112.9041726369,25.0
2004.0,Residential,1 Storey & Basement,2533,Y,Y,Y,Y,1063000,53.495793193199994,-113.3289758261,14.0
2003.0,Residential,2 Storey & Basement,1410,Y,N,Y,Y,402000,53.5210200284,-113.25819479719999,15.0
2004.0,Residential,2 Storey & Basement,1608,Y,Y,Y,Y,389000,53.5497002041,-113.2737316104,14.0
2003.0,Residential,2 Storey & Basement,2117,Y,Y,Y,Y,512000,53.51350759060001,-113.2817969093,15.0
2002.0,Residential,1 Storey & Bonus Upper,2236,Y,Y,Y,Y,804000,53.496894294899995,-113.33068529049999,16.0
1962.0,Residential,1 Storey Basementless,481,N,Y,N,N,140000,53.4051520591,-112.9203607259,56.0
2003.0,Residential,2 Storey & Basement,1462,Y,Y,Y,Y,430000,53.513734846700004,-113.2804930482,15.0
2004.0,Residential,2 Storey & Basement,1352,Y,N,Y,N,336000,53.550296367899996,-113.2743708869,14.0
2002.0,Residential,Split Entry,1103,Y,N,Y,Y,387000,53.5198794441,-113.2631362144,16.0
1993.0,Residential,1 Storey & Basement,1945,Y,Y,Y,Y,801000,53.427045643,-112.9264227442,25.0
2003.0,Residential,1 Storey Basementless,1416,Y,Y,N,N,421000,53.4094966026,-112.8955406653,15.0
2004.0,Residential,2 Storey & Basement,2221,Y,Y,Y,Y,555000,53.5188073696,-113.2700900998,14.0
2003.0,Residential,2 Storey & Basement,1319,Y,Y,Y,Y,378000,53.5548966729,-113.25628450209999,15.0
2002.0,Residential,2 Storey & Basement,1337,Y,Y,Y,Y,372000,53.552555813999994,-113.24805845350001,16.0
2003.0,Residential,2 Storey & Basement,2073,Y,Y,Y,Y,513000,53.5530067452,-113.2547410457,15.0
1977.0,Residential,1 1/2 Storey & Basement,1592,Y,Y,Y,N,268000,53.462917168500006,-112.94863333190001,41.0
2003.0,Residential,Split Entry & Bonus Upper,1678,Y,Y,Y,Y,540000,53.5137911725,-113.2829660166,15.0
2003.0,Residential,2 Storey & Basement,1778,Y,Y,Y,N,445000,53.512711416,-113.2802614543,15.0
2003.0,Residential,2 Storey & Basement,2278,Y,Y,Y,N,512000,53.5535268424,-113.25421421290001,15.0
2003.0,Residential,2 Storey & Basement,1932,Y,Y,Y,N,450000,53.5435688217,-113.2694881891,15.0
2002.0,Residential,2 Storey & Basement,1337,Y,Y,Y,Y,374000,53.553451600900004,-113.2493293491,16.0
2006.0,Residential,1 Storey & Basement,2018,Y,Y,Y,Y,847000,53.5102029932,-113.2374253358,12.0
2004.0,Residential,1 Storey & Basement,1673,Y,Y,Y,Y,624000,53.454114061599995,-112.8836999947,14.0
2003.0,Residential,1 Storey & Basement,1582,Y,Y,Y,Y,735000,53.533155738999994,-113.1354845817,15.0
2003.0,Residential,Split Entry & Bonus Upper,1402,Y,Y,Y,Y,451000,53.5123711672,-113.2815208066,15.0
1993.0,Residential,1 Storey & Basement,1215,Y,N,Y,Y,370000,53.408852906199996,-112.9002368757,25.0
2003.0,Residential,2 Storey & Basement,1981,Y,Y,Y,N,478000,53.524048762,-113.2668137569,15.0
1977.0,Residential,Split Entry,1134,Y,N,Y,Y,296000,53.4617121365,-112.948325041,41.0
2003.0,Residential,2 Storey & Basement,2340,Y,Y,Y,N,511000,53.5351040432,-113.26025794360001,15.0
2003.0,Residential,Split Entry & Bonus Upper,1485,Y,Y,Y,Y,497000,53.512617145600004,-113.2515323427,15.0
2003.0,Residential,Split Entry & Bonus Upper,1550,Y,Y,Y,Y,459000,53.5232504975,-113.2665422344,15.0
2003.0,Residential,2 Storey & Basement,1791,Y,Y,Y,Y,451000,53.5207843863,-113.25753178149999,15.0
2003.0,Residential,Split Entry,1265,Y,Y,Y,Y,456000,53.516033519,-113.2518757142,15.0
2003.0,Residential,2 Storey & Basement,1835,Y,Y,Y,Y,440000,53.554308730600006,-113.25436582309999,15.0
2002.0,Residential,2 Storey & Basement,1424,Y,Y,Y,Y,394000,53.5197998266,-113.2646849942,16.0
2002.0,Residential,Split Entry,1214,Y,Y,Y,Y,421000,53.553720694700004,-113.2563504751,16.0
1973.0,Residential,A-Frame Basementless,875,Y,Y,N,N,187000,53.4099572584,-112.8933751564,45.0
2003.0,Residential,Split Entry & Bonus Upper,1335,Y,Y,Y,Y,419000,53.5440270893,-113.27052983870001,15.0
2004.0,Residential,2 Storey & Basement,1768,Y,Y,Y,N,424000,53.5489578134,-113.2727480086,14.0
2002.0,Residential,2 Storey & Basement,1893,Y,Y,Y,Y,456000,53.5225978158,-113.2573798964,16.0
2004.0,Residential,2 Storey & Basement,3281,Y,Y,Y,Y,972000,53.4967826892,-113.3295816971,14.0
2004.0,Residential,2 Storey & Basement,2310,Y,Y,Y,Y,613000,53.514977055100005,-113.2502997707,14.0
2004.0,Residential,2 Storey & Basement,1813,Y,Y,Y,Y,454000,53.5270142321,-113.2506709374,14.0
2004.0,Residential,2 Storey & Basement,2128,Y,Y,Y,Y,521000,53.5534740536,-113.255419706,14.0
1983.0,Residential,2 Storey & Basement,1832,Y,Y,Y,Y,292000,53.405999834,-112.9195275502,35.0
2002.0,Residential,2 Storey & Basement,1844,Y,Y,Y,N,448000,53.5228958962,-113.26542383719999,16.0
1955.0,Residential,1 Storey Basementless,880,Y,N,N,N,203000,53.462186783599996,-112.9496097389,63.0
2003.0,Residential,Split Entry,1176,Y,Y,Y,Y,411000,53.5246469448,-113.2615260616,15.0
2005.0,Residential,2 Storey & Basement,3028,Y,Y,Y,Y,1000000,53.495289022399994,-113.3261175009,13.0
2004.0,Residential,1 Storey & Basement,1479,Y,Y,Y,Y,466000,53.3768286018,-112.8581632814,14.0
2002.0,Residential,2 Storey & Basement,2058,Y,Y,Y,Y,520000,53.5151624518,-113.28027655950001,16.0
2004.0,Residential,2 Storey & Basement,1978,Y,Y,Y,Y,501000,53.543101603500006,-113.2689586474,14.0
2003.0,Residential,1 Storey & Basement,1536,Y,Y,Y,Y,519000,53.5532794116,-113.2585231402,15.0
2008.0,Residential,1 Storey & Basement,2322,Y,Y,Y,Y,799000,53.3682848138,-112.8592065036,10.0
2005.0,Residential,2 Storey & Basement,1790,Y,Y,Y,Y,476000,53.549411612700005,-113.27153760469999,13.0
1988.0,Residential,1 Storey Basementless,560,N,Y,N,N,171000,53.4098089697,-112.90343479709999,30.0
2003.0,Residential,2 Storey & Basement,1551,N,Y,Y,Y,358000,53.550448708699996,-113.27372927549999,15.0
2003.0,Residential,2 Storey & Basement,2015,Y,Y,Y,Y,514000,53.5231801688,-113.2648004266,15.0
2003.0,Residential,1 Storey & Basement,1145,Y,Y,Y,Y,428000,53.553510521899995,-113.2537814229,15.0
1976.0,Residential,2 Storey & Basement,2061,Y,Y,Y,N,517000,53.5821812738,-113.16016806020001,42.0
2002.0,Residential,2 Storey & Basement,1844,Y,Y,Y,Y,451000,53.5196593996,-113.2641421916,16.0
1994.0,Residential,1 Storey & Basement,1745,Y,Y,Y,Y,472000,53.3686139981,-112.86499646840001,24.0
2012.0,Residential,Split Entry & Bonus Upper,1981,Y,Y,Y,Y,724000,53.543923398400004,-113.0127893418,6.0
1988.0,Residential,2 Storey & Basement,2061,Y,Y,Y,Y,549000,53.3734734331,-112.8843359767,30.0
2005.0,Residential,2 Storey & Basement,2200,Y,Y,Y,N,494000,53.5486359524,-113.2718775192,13.0
1981.0,Residential,2 Storey & Basement,2970,Y,Y,Y,Y,717000,53.4474337264,-112.86311868790001,37.0
1971.0,Residential,1 Storey & Basement,987,Y,Y,Y,N,340000,53.4540449108,-112.914413064,47.0
2014.0,Residential,2 Storey & Basement,5126,Y,Y,Y,Y,1429000,53.495799307,-113.3309629532,4.0
1956.0,Residential,1 Storey & Basement,993,Y,N,Y,Y,384000,53.622644413500005,-113.10182133079999,62.0
